CLS_MOVIE_WEIGHT,N_TRAINING_POINTS,PERTURBATION_RATIO,N_FEATS,PERT_STD,FAILOVER,MAE,MAE_FAILOVER,rob,rob_cold
4,50,0.0,10,1.04,False,0.09475453651896171,0.1444216982922324,nan,nan
4,50,0.0,10,1.04,False,0.9895020946681257,0.7705714936903258,0.12170222593956162,0.04833383973310395
4,50,0.0,10,1.04,False,0.08964245433428442,0.9237514366061164,0.037264542756732966,0.020737499477023514
4,50,0.0,10,1.04,False,1.3089363563169556,0.2754817357461046,0.06608427984087523,0.005904862580647057
4,50,0.0,10,1.04,True,3.231266051629181,0.03593652684906079,0.10431518584316071,0.014905547523730071
4,50,0.0,10,1.04,True,4.256351682428774,1.8889823656200337,0.14153429665171605,0.058869242248514
4,50,0.0,10,1.04,True,3.734893061717039,0.07349385455902047,0.028378623019850596,0.0164156347573307
4,50,0.0,10,1.04,False,0.2808404925551189,0.6071524944019533,0.03323026616619743,0.005469166367408672
4,50,0.0,10,1.04,False,1.5838742329257478,1.0595595809317313,0.033522664854039215,0.007727098341375208
4,50,0.0,10,1.04,True,3.9027683780388207,0.9930951753132273,nan,nan
4,50,0.0,10,1.04,False,0.0487711452047348,4.355178661182835,nan,nan
4,50,0.0,10,1.04,False,0.6563148498535156,0.7962051458195774,0.12295637347664459,nan
4,50,0.0,10,1.04,False,0.5500481065658249,0.3836222414832555,nan,nan
4,50,0.0,10,1.04,False,0.002136721380895601,0.3303160971025765,0.0386930115699617,0.011660522458537406
4,50,0.0,10,1.04,True,4.0,0.16802983194321985,0.11097943683708471,nan
4,50,0.0,10,1.04,True,3.23611013340169,0.41598491005379845,0.07640420446995808,0.023889980607318177
4,50,0.0,10,1.04,True,3.749596999721349,0.18611730126046755,0.16917311424330936,0.023424384176749944
4,50,0.0,10,1.04,False,0.4296268134381247,0.45031229395358086,0.045265842036507895,0.013892462093128506
4,50,0.0,10,1.04,True,3.9003564911624635,0.7172540265455294,nan,nan
4,50,0.0,10,1.04,False,0.13877235473736427,0.12601082035391942,nan,nan
4,50,0.0,10,1.04,True,3.2808290758758485,0.13074403112702981,0.0020800154051646754,0.01031076453736462
4,50,0.0,10,1.04,False,0.36875750176371946,0.7533404106877346,0.040319722344881195,0.01119073041214084
4,50,0.0,10,1.04,True,3.475819501681833,0.07420084229872481,0.0,0.012283010714066138
4,50,0.0,10,1.04,True,3.21164505758926,0.24806467678816402,0.09098378533270454,0.01538321702149335
4,50,0.0,10,1.04,True,3.731334279933723,0.24395171082571787,0.0007234386906358863,0.011418236505863112
4,50,0.0,10,1.04,True,3.89427812712087,1.9402474229430702,nan,nan
4,50,0.0,10,1.04,False,0.08794265243031374,0.20204848375871753,nan,nan
4,50,0.0,10,1.04,False,0.8947852147521087,0.44699517245926224,0.11768422959296759,0.03254042843733928
4,50,0.0,10,1.04,False,0.019557334629726864,1.166984857924684,0.04229607327164992,0.016682746422252072
4,50,0.0,10,1.04,False,1.2109592589730735,0.026491290511052146,0.06918576266492199,0.008494546215165488
4,50,0.0,10,1.04,True,3.250046574425485,0.04032036531469618,0.1004494247833054,0.008792552646115939
4,50,0.0,10,1.04,True,3.734186084411279,0.31688561544370986,0.04041650231133226,0.014768985009895284
4,50,0.0,10,1.04,True,3.913633702614997,0.7980593327552112,nan,nan
4,50,0.0,10,1.04,False,0.077236420503763,94656.83021360118,nan,nan
4,50,0.0,10,1.04,False,1.38808165421356,0.14652244837656436,0.1322258890775591,0.007695126982390191
4,50,0.0,10,1.04,False,0.08266791507976112,0.3562517728110919,0.03947493273717801,0.00584977139199971
4,50,0.0,10,1.04,False,0.029764267765785668,0.13284638698220297,0.1049845697510577,0.008233172416007463
4,50,0.0,10,1.04,True,3.230347229002583,0.2697889038307455,0.09492231410692209,0.017491285636821518
4,50,0.0,10,1.04,False,1.5516007846337883,0.00011361179645685837,0.10069667102928055,0.017224916884611044
4,50,0.0,10,1.04,True,3.7292562905673945,0.07590443182209672,0.12394906484158426,0.01983384194188487
